2025-01-31 00:05:21.121 IST [2588] LOG:  checkpoint starting: time
2025-01-31 00:05:21.252 IST [2588] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.109 s, sync=0.004 s, total=0.131 s; sync files=2, longest=0.003 s, average=0.002 s; distance=1 kB, estimate=2437 kB; lsn=0/1EC2D90, redo lsn=0/1EC2D38
2025-01-31 00:10:21.256 IST [2588] LOG:  checkpoint starting: time
2025-01-31 00:10:21.390 IST [2588] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.115 s, sync=0.002 s, total=0.134 s; sync files=2, longest=0.002 s, average=0.001 s; distance=2 kB, estimate=2193 kB; lsn=0/1EC3640, redo lsn=0/1EC35E8
2025-01-31 00:29:26.261 IST [2496] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2025-01-31 00:29:26.262 IST [3984] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2025-01-31 00:29:26.262 IST [14680] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2025-01-31 15:26:24.097 IST [3128] ERROR:  canceling statement due to user request
2025-01-31 15:26:24.101 IST [2588] LOG:  shutting down
2025-01-31 15:26:24.102 IST [2588] LOG:  checkpoint starting: shutdown immediate
2025-01-31 15:26:24.106 IST [2588] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.001 s, sync=0.001 s, total=0.006 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=1974 kB; lsn=0/1EC36F0, redo lsn=0/1EC36F0
